* chtb_0001 xinhua/00/chtb_0001 XIN.19960210.0178
* chtb_0002 xinhua/00/chtb_0002 XIN.19960211.0308
* chtb_0003 xinhua/00/chtb_0003 XIN.19960212.0364
* chtb_0004 xinhua/00/chtb_0004 XIN.19960213.0455
* chtb_0005 xinhua/00/chtb_0005 XIN.19960202.0057
* chtb_0006 xinhua/00/chtb_0006 XIN.19960213.0457
* chtb_0007 xinhua/00/chtb_0007 XIN.19960213.0490
* chtb_0008 xinhua/00/chtb_0008 XIN.19960214.0546
* chtb_0009 xinhua/00/chtb_0009 XIN.19960215.0596
* chtb_0010 xinhua/00/chtb_0010 XIN.19960216.0842
* chtb_0011 xinhua/00/chtb_0011 XIN.19960220.0116
* chtb_0012 xinhua/00/chtb_0012 XIN.19960223.0259
* chtb_0013 xinhua/00/chtb_0013 XIN.19960224.0282
* chtb_0014 xinhua/00/chtb_0014 XIN.19960227.0504
* chtb_0015 xinhua/00/chtb_0015 XIN.19960228.0729
* chtb_0016 xinhua/00/chtb_0016 XIN.19960229.0116
* chtb_0017 xinhua/00/chtb_0017 XIN.19960229.0119
* chtb_0018 xinhua/00/chtb_0018 XIN.19960203.0220
* chtb_0019 xinhua/00/chtb_0019 XIN.19960206.0445
* chtb_0020 xinhua/00/chtb_0020 XIN.19960207.0453
* chtb_0021 xinhua/00/chtb_0021 XIN.19960308.0989
* chtb_0022 xinhua/00/chtb_0022 XIN.19960310.0068
* chtb_0023 xinhua/00/chtb_0023 XIN.19960310.0172
* chtb_0024 xinhua/00/chtb_0024 XIN.19960302.0205
* chtb_0025 xinhua/00/chtb_0025 XIN.19960313.0494
* chtb_0026 xinhua/00/chtb_0026 XIN.19960315.0636
* chtb_0027 xinhua/00/chtb_0027 XIN.19960317.0812
* chtb_0028 xinhua/00/chtb_0028 XIN.19960319.0953
* chtb_0029 xinhua/00/chtb_0029 XIN.19960319.0077
* chtb_0030 xinhua/00/chtb_0030 XIN.19960323.0322
* chtb_0031 xinhua/00/chtb_0031 XIN.19960329.0865
* chtb_0032 xinhua/00/chtb_0032 XIN.19960303.0336
* chtb_0033 xinhua/00/chtb_0033 XIN.19960304.0416
* chtb_0034 xinhua/00/chtb_0034 XIN.19960304.0452
* chtb_0035 xinhua/00/chtb_0035 XIN.19960406.1294
* chtb_0036 xinhua/00/chtb_0036 XIN.19960413.0224
* chtb_0037 xinhua/00/chtb_0037 XIN.19960415.0527
* chtb_0038 xinhua/00/chtb_0038 XIN.19960418.0869
* chtb_0039 xinhua/00/chtb_0039 XIN.19960421.0210
* chtb_0040 xinhua/00/chtb_0040 XIN.19960405.1267
! chtb_0041 xinhua/00/chtb_0041 XIN.19971204.0043
! chtb_0042 xinhua/00/chtb_0042 XIN.19971207.0056
! chtb_0043 xinhua/00/chtb_0043 XIN.19971209.0055
! chtb_0044 xinhua/00/chtb_0044 XIN.19971201.0076
! chtb_0045 xinhua/00/chtb_0045 XIN.19971211.0067
! chtb_0046 xinhua/00/chtb_0046 XIN.19971214.0050
! chtb_0047 xinhua/00/chtb_0047 XIN.19971215.0104
! chtb_0048 xinhua/00/chtb_0048 XIN.19971215.0105
! chtb_0049 xinhua/00/chtb_0049 XIN.19971216.0045
! chtb_0050 xinhua/00/chtb_0050 XIN.19971216.0055
! chtb_0051 xinhua/00/chtb_0051 XIN.19971216.0047
! chtb_0052 xinhua/00/chtb_0052 XIN.19971217.0010
! chtb_0053 xinhua/00/chtb_0053 XIN.19971217.0013
! chtb_0054 xinhua/00/chtb_0054 XIN.19971217.0074
! chtb_0055 xinhua/00/chtb_0055 XIN.19971217.0078
! chtb_0056 xinhua/00/chtb_0056 XIN.19971217.0057
! chtb_0057 xinhua/00/chtb_0057 XIN.19971218.0040
! chtb_0058 xinhua/00/chtb_0058 XIN.19971218.0048
! chtb_0059 xinhua/00/chtb_0059 XIN.19971220.0037
! chtb_0060 xinhua/00/chtb_0060 XIN.19971220.0054
! chtb_0061 xinhua/00/chtb_0061 XIN.19971220.0062
! chtb_0062 xinhua/00/chtb_0062 XIN.19971221.0032
! chtb_0063 xinhua/00/chtb_0063 XIN.19971202.0062
! chtb_0064 xinhua/00/chtb_0064 XIN.19971221.0035
! chtb_0065 xinhua/00/chtb_0065 XIN.19971221.0069
! chtb_0066 xinhua/00/chtb_0066 XIN.19971221.0070
! chtb_0067 xinhua/00/chtb_0067 XIN.19971222.0012
! chtb_0068 xinhua/00/chtb_0068 XIN.19971222.0040
! chtb_0069 xinhua/00/chtb_0069 XIN.19971222.0044
! chtb_0070 xinhua/00/chtb_0070 XIN.19971222.0057
! chtb_0071 xinhua/00/chtb_0071 XIN.19971222.0072
! chtb_0072 xinhua/00/chtb_0072 XIN.19971222.0078
! chtb_0073 xinhua/00/chtb_0073 XIN.19971222.0082
! chtb_0074 xinhua/00/chtb_0074 XIN.19971202.0084
! chtb_0075 xinhua/00/chtb_0075 XIN.19971225.0027
! chtb_0076 xinhua/00/chtb_0076 XIN.19971225.0035
! chtb_0077 xinhua/00/chtb_0077 XIN.19971225.0039
! chtb_0078 xinhua/00/chtb_0078 XIN.19971225.0090
! chtb_0079 xinhua/00/chtb_0079 XIN.19971226.0047
! chtb_0080 xinhua/00/chtb_0080 XIN.19971226.0067
chtb_0081 xinhua/00/chtb_0081 XIN.19971226.0076
chtb_0082 xinhua/00/chtb_0082 XIN.19971202.0087
chtb_0083 xinhua/00/chtb_0083 XIN.19971227.0026
chtb_0084 xinhua/00/chtb_0084 XIN.19971227.0029
chtb_0085 xinhua/00/chtb_0085 XIN.19971227.0039
chtb_0086 xinhua/00/chtb_0086 XIN.19971227.0044
chtb_0087 xinhua/00/chtb_0087 XIN.19971228.0030
chtb_0088 xinhua/00/chtb_0088 XIN.19971228.0037
chtb_0089 xinhua/00/chtb_0089 XIN.19971230.0045
chtb_0090 xinhua/00/chtb_0090 XIN.19971230.0057
chtb_0091 xinhua/00/chtb_0091 XIN.19980102.0036
chtb_0092 xinhua/00/chtb_0092 XIN.19980106.0029
chtb_0093 xinhua/00/chtb_0093 XIN.19980106.0044
chtb_0094 xinhua/00/chtb_0094 XIN.19980106.0046
chtb_0095 xinhua/00/chtb_0095 XIN.19980109.0013
chtb_0096 xinhua/00/chtb_0096 XIN.19980109.0029
chtb_0097 xinhua/00/chtb_0097 XIN.19980109.0050
chtb_0098 xinhua/00/chtb_0098 XIN.19980110.0036
chtb_0099 xinhua/00/chtb_0099 XIN.19980110.0037
chtb_0100 xinhua/01/chtb_0100 XIN.19980110.0078
chtb_0101 xinhua/01/chtb_0101 XIN.19980111.0027
chtb_0102 xinhua/01/chtb_0102 XIN.19980111.0073
chtb_0103 xinhua/01/chtb_0103 XIN.19980111.0084
chtb_0104 xinhua/01/chtb_0104 XIN.19980112.0051
chtb_0105 xinhua/01/chtb_0105 XIN.19980112.0078
chtb_0106 xinhua/01/chtb_0106 XIN.19980113.0054
chtb_0107 xinhua/01/chtb_0107 XIN.19980113.0076
chtb_0108 xinhua/01/chtb_0108 XIN.19980102.0049
chtb_0109 xinhua/01/chtb_0109 XIN.19980113.0077
chtb_0110 xinhua/01/chtb_0110 XIN.19980114.0015
chtb_0111 xinhua/01/chtb_0111 XIN.19980114.0026
chtb_0112 xinhua/01/chtb_0112 XIN.19980114.0052
chtb_0113 xinhua/01/chtb_0113 XIN.19980114.0055
chtb_0114 xinhua/01/chtb_0114 XIN.19980115.0052
chtb_0115 xinhua/01/chtb_0115 XIN.19980115.0056
chtb_0116 xinhua/01/chtb_0116 XIN.19980116.0045
chtb_0117 xinhua/01/chtb_0117 XIN.19980116.0052
chtb_0118 xinhua/01/chtb_0118 XIN.19980116.0056
chtb_0119 xinhua/01/chtb_0119 XIN.19980103.0026
chtb_0120 xinhua/01/chtb_0120 XIN.19980116.0060
chtb_0121 xinhua/01/chtb_0121 XIN.19980116.0093
chtb_0122 xinhua/01/chtb_0122 XIN.19980116.0102
chtb_0123 xinhua/01/chtb_0123 XIN.19980116.0113
chtb_0124 xinhua/01/chtb_0124 XIN.19980116.0078
chtb_0125 xinhua/01/chtb_0125 XIN.19980117.0019
chtb_0126 xinhua/01/chtb_0126 XIN.19980117.0041
chtb_0127 xinhua/01/chtb_0127 XIN.19980117.0058
chtb_0128 xinhua/01/chtb_0128 XIN.19980118.0043
chtb_0129 xinhua/01/chtb_0129 XIN.19980118.0056
chtb_0130 xinhua/01/chtb_0130 XIN.19980103.0035
chtb_0131 xinhua/01/chtb_0131 XIN.19980119.0016
chtb_0132 xinhua/01/chtb_0132 XIN.19980119.0050
chtb_0133 xinhua/01/chtb_0133 XIN.19980119.0066
chtb_0134 xinhua/01/chtb_0134 XIN.19980121.0027
chtb_0135 xinhua/01/chtb_0135 XIN.19980121.0051
chtb_0136 xinhua/01/chtb_0136 XIN.19980121.0059
chtb_0137 xinhua/01/chtb_0137 XIN.19980121.0068
chtb_0138 xinhua/01/chtb_0138 XIN.19980121.0069
chtb_0139 xinhua/01/chtb_0139 XIN.19980121.0089
chtb_0140 xinhua/01/chtb_0140 XIN.19980103.0043
chtb_0141 xinhua/01/chtb_0141 XIN.19980103.0045
chtb_0142 xinhua/01/chtb_0142 XIN.19980103.0058
chtb_0143 xinhua/01/chtb_0143 XIN.19980104.0031
chtb_0144 xinhua/01/chtb_0144 CB330006.BFL
chtb_0145 xinhua/01/chtb_0145 CB374006.BFW
chtb_0146 xinhua/01/chtb_0146 CB324008.BFJ
chtb_0147 xinhua/01/chtb_0147 CB009008.BFW
chtb_0148 xinhua/01/chtb_0148 CB316009.BFW
chtb_0149 xinhua/01/chtb_0149 CB343009.BFW
chtb_0150 xinhua/01/chtb_0150 CB011014.BFW
chtb_0151 xinhua/01/chtb_0151 CB007006.BFW
chtb_0152 xinhua/01/chtb_0152 CB326019.BFW
chtb_0153 xinhua/01/chtb_0153 CB368020.BFW
chtb_0154 xinhua/01/chtb_0154 CB012021.BBW
chtb_0155 xinhua/01/chtb_0155 CB386006.BFW
chtb_0156 xinhua/01/chtb_0156 CB013007.BFW
chtb_0157 xinhua/01/chtb_0157 CB368007.BFW
chtb_0158 xinhua/01/chtb_0158 CB006002.BFW
chtb_0159 xinhua/01/chtb_0159 CB364008.BFJ
chtb_0160 xinhua/01/chtb_0160 CB009002.BFW
chtb_0161 xinhua/01/chtb_0161 CB003011.BFW
chtb_0162 xinhua/01/chtb_0162 CB010015.BFW
chtb_0163 xinhua/01/chtb_0163 CB014017.BFW
chtb_0164 xinhua/01/chtb_0164 CB025018.BFW
chtb_0165 xinhua/01/chtb_0165 CB006003.BFW
chtb_0166 xinhua/01/chtb_0166 CB320024.BFJ
chtb_0167 xinhua/01/chtb_0167 CB347029.BFJ
chtb_0168 xinhua/01/chtb_0168 CB320003.BFW
chtb_0169 xinhua/01/chtb_0169 CB028003.BFW
chtb_0170 xinhua/01/chtb_0170 ART116
chtb_0171 xinhua/01/chtb_0171 ART119
chtb_0172 xinhua/01/chtb_0172 ART122
chtb_0173 xinhua/01/chtb_0173 ART125
chtb_0174 xinhua/01/chtb_0174 ART128
chtb_0175 xinhua/01/chtb_0175 ART131
chtb_0176 xinhua/01/chtb_0176 ART134
chtb_0177 xinhua/01/chtb_0177 ART137
chtb_0178 xinhua/01/chtb_0178 ART140
chtb_0179 xinhua/01/chtb_0179 ART143
chtb_0180 xinhua/01/chtb_0180 ART149
chtb_0181 xinhua/01/chtb_0181 ART152
chtb_0182 xinhua/01/chtb_0182 ART155
chtb_0183 xinhua/01/chtb_0183 ART158
chtb_0184 xinhua/01/chtb_0184 ART161
chtb_0185 xinhua/01/chtb_0185 ART164
chtb_0186 xinhua/01/chtb_0186 ART167
chtb_0187 xinhua/01/chtb_0187 ART170
chtb_0188 xinhua/01/chtb_0188 ART176
chtb_0189 xinhua/01/chtb_0189 ART179
chtb_0190 xinhua/01/chtb_0190 ART182
chtb_0191 xinhua/01/chtb_0191 ART185
chtb_0192 xinhua/01/chtb_0192 ART188
chtb_0193 xinhua/01/chtb_0193 ART191
chtb_0194 xinhua/01/chtb_0194 ART194
chtb_0195 xinhua/01/chtb_0195 ART197
chtb_0196 xinhua/01/chtb_0196 ART203
chtb_0197 xinhua/01/chtb_0197 ART209
chtb_0198 xinhua/01/chtb_0198 ART218
chtb_0199 xinhua/01/chtb_0199 ART227
chtb_0200 xinhua/02/chtb_0200 ART242
chtb_0201 xinhua/02/chtb_0201 ART245
chtb_0202 xinhua/02/chtb_0202 ART248
chtb_0203 xinhua/02/chtb_0203 ART251
chtb_0204 xinhua/02/chtb_0204 ART254
chtb_0205 xinhua/02/chtb_0205 ART257
chtb_0206 xinhua/02/chtb_0206 ART260
chtb_0207 xinhua/02/chtb_0207 ART263
chtb_0208 xinhua/02/chtb_0208 CB001001.BFW
chtb_0209 xinhua/02/chtb_0209 CB002023.BFW
chtb_0210 xinhua/02/chtb_0210 CB003001.BCJ
chtb_0211 xinhua/02/chtb_0211 CB004001.BCJ
chtb_0212 xinhua/02/chtb_0212 CB004002.BCJ
chtb_0213 xinhua/02/chtb_0213 CB005001.BCJ
chtb_0214 xinhua/02/chtb_0214 CB005002.BFJ
chtb_0215 xinhua/02/chtb_0215 CB005023.BFW
chtb_0216 xinhua/02/chtb_0216 CB006001.BFJ
chtb_0217 xinhua/02/chtb_0217 CB006002.BFJ
chtb_0218 xinhua/02/chtb_0218 CB006023.BFW
chtb_0219 xinhua/02/chtb_0219 CB007002.BFW
chtb_0220 xinhua/02/chtb_0220 CB010001.BFJ
chtb_0221 xinhua/02/chtb_0221 CB011001.BFW
chtb_0222 xinhua/02/chtb_0222 CB013001.BFW
chtb_0223 xinhua/02/chtb_0223 CB014002.BFW
chtb_0224 xinhua/02/chtb_0224 CB014031.BFW
chtb_0225 xinhua/02/chtb_0225 CB015001.BFJ
chtb_0226 xinhua/02/chtb_0226 CB016031.BFJ
chtb_0227 xinhua/02/chtb_0227 CB017001.BFJ
chtb_0228 xinhua/02/chtb_0228 CB018023.BFW
chtb_0229 xinhua/02/chtb_0229 CB019001.BFW
chtb_0230 xinhua/02/chtb_0230 CB020023.BFW
chtb_0231 xinhua/02/chtb_0231 CB021001.BFJ
chtb_0232 xinhua/02/chtb_0232 CB022023.BFW
chtb_0233 xinhua/02/chtb_0233 CB024031.BFW
chtb_0234 xinhua/02/chtb_0234 CB026031.BFW
chtb_0235 xinhua/02/chtb_0235 CB027001.BFW
chtb_0236 xinhua/02/chtb_0236 CB027023.BFJ
chtb_0237 xinhua/02/chtb_0237 CB027031.BFW
chtb_0238 xinhua/02/chtb_0238 CB028031.BCW
chtb_0239 xinhua/02/chtb_0239 CB029001.BFW
chtb_0240 xinhua/02/chtb_0240 CB029023.BFW
chtb_0241 xinhua/02/chtb_0241 CB029031.BFW
chtb_0242 xinhua/02/chtb_0242 CB030001.BFW
chtb_0243 xinhua/02/chtb_0243 CB030023.BFJ
chtb_0244 xinhua/02/chtb_0244 CB030031.BFW
chtb_0245 xinhua/02/chtb_0245 CB031023.BFJ
chtb_0246 xinhua/02/chtb_0246 CB031031.BFW
chtb_0247 xinhua/02/chtb_0247 CB032001.BFJ
chtb_0248 xinhua/02/chtb_0248 CB032023.BFJ
chtb_0249 xinhua/02/chtb_0249 CB032031.BFJ
chtb_0250 xinhua/02/chtb_0250 CB033001.BFJ
chtb_0251 xinhua/02/chtb_0251 CB033023.BFW
chtb_0252 xinhua/02/chtb_0252 CB034001.BFJ
chtb_0253 xinhua/02/chtb_0253 CB034023.BFW
chtb_0254 xinhua/02/chtb_0254 CB034031.BFJ
chtb_0255 xinhua/02/chtb_0255 CB035001.BFW
chtb_0256 xinhua/02/chtb_0256 CB035023.BFW
chtb_0257 xinhua/02/chtb_0257 CB036001.BFW
chtb_0258 xinhua/02/chtb_0258 CB036023.BFJ
chtb_0259 xinhua/02/chtb_0259 CB037001.BFW
chtb_0260 xinhua/02/chtb_0260 CB037023.BFI
chtb_0261 xinhua/02/chtb_0261 CB037031.BFJ
chtb_0262 xinhua/02/chtb_0262 CB038001.BFW
chtb_0263 xinhua/02/chtb_0263 CB038023.BFJ
chtb_0264 xinhua/02/chtb_0264 CB038031.BFJ
chtb_0265 xinhua/02/chtb_0265 CB039001.BFW
chtb_0266 xinhua/02/chtb_0266 CB039031.BFJ
chtb_0267 xinhua/02/chtb_0267 CB040001.BFW
chtb_0268 xinhua/02/chtb_0268 CB040023.BFW
chtb_0269 xinhua/02/chtb_0269 CB041001.BFW
chtb_0270 xinhua/02/chtb_0270 CB041023.BFW
chtb_0271 xinhua/02/chtb_0271 CB041031.BFW
chtb_0272 xinhua/02/chtb_0272 CB042001.BFW
chtb_0273 xinhua/02/chtb_0273 CB042023.BFJ
chtb_0274 xinhua/02/chtb_0274 CB042031.BFJ
chtb_0275 xinhua/02/chtb_0275 CB043001.BFW
chtb_0276 xinhua/02/chtb_0276 CB043023.BFJ
chtb_0277 xinhua/02/chtb_0277 CB043031.BFJ
chtb_0278 xinhua/02/chtb_0278 CB044001.BFW
chtb_0279 xinhua/02/chtb_0279 CB044031.BFW
chtb_0280 xinhua/02/chtb_0280 CB045023.BFW
chtb_0281 xinhua/02/chtb_0281 CB045031.BFW
chtb_0282 xinhua/02/chtb_0282 CB046001.BFW
chtb_0283 xinhua/02/chtb_0283 CB046031.BFW
chtb_0284 xinhua/02/chtb_0284 CB047001.BFW
chtb_0285 xinhua/02/chtb_0285 CB047023.BFJ
chtb_0286 xinhua/02/chtb_0286 CB047031.BFW
chtb_0287 xinhua/02/chtb_0287 CB048023.BFW
